"video_id","author_link","create_time","author_avatar","thumbnail_url","video_diggcount","video_playcount","author_followers","author_followings","author_unique_id","author_nickname","video_sharecount","video_commentcount","signature"
"7435351139622587681","https://www.tiktok.com/@semplicemente.alicez","2024-11-09","https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/1c2de8a1942147a6ace3a2e2dedd9f58~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=ce70b08a&x-expires=1752148800&x-signature=nOfNF9zzSPXWaS%2FlLUzgjqlOEPI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7435351139622587681.0000000.jpg","357492","3888333","104559","43","semplicemente.alicez","ALICE🍙| studytok","7570","4616","🇮🇹Stationery & studytok 💌semplicemente.alicez@gmail.com  ⬇️links⬇️"
"7061946440691502363","https://www.tiktok.com/@dailydivv","2022-02-07","https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7311683550976802848~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=82460225&x-expires=1752148800&x-signature=TvHnDtYyXV9ite8zJyqz3tOG0B4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7061946440691502363.0000000.jpg","18657","444757","85324","96","dailydivv","Divv","313","84","🇮🇩🇦🇺 | life as a design student in Melb Link barang-barang yang aku pakai⬇️"
"7326566423671868718","https://www.tiktok.com/@_my.digital.diary_","2024-01-21","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/21b6101e12c56fd1eae8e234b1715dc6~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=320eedc9&x-expires=1752148800&x-signature=e4sEsMQqpyu6nZ5OLqHfytIDStg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7326566423671868718.0000000.jpg","108905","816843","81865","75","_my.digital.diary_","vicky <3","488","285","💌:vickystudydiaries@gmail.com 🔗:https://linktr.ee/my.digital.diary"
"7377593865630387473","https://www.tiktok.com/@academic_smarters","2024-06-07","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d59bd04821182cbae0fb88ebdf996c8c~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=aa10fec2&x-expires=1752148800&x-signature=WcGEI7ZoplEpBOeDOt1CL4fYI68%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7377593865630387473.0000000.jpg","2593","121951","37926","475","academic_smarters","Academic_Smarters","172","36","Academic and UGC content creator👩🏻‍💻🇱🇰 Lifestyle 💫 DM/Email to collab📩"
"7251707949331090714","https://www.tiktok.com/@happydownloads","2023-07-03","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/72f2111386d9baab4a8be75bb2b535fb~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=13e7f257&x-expires=1752148800&x-signature=lfxcv5ZKj5GPUzsOBJUb0zjkmlE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7251707949331090714.0000000.jpg","564589","8624493","1564195","258","happydownloads","HappyDownloads","26225","1905","iPad & Samsung tips 👇 my planner shop & Amazon favs 💌 rina@happydownloads.net"
"7518790759013764408","https://www.tiktok.com/@caramel.studyy","2025-06-22","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/88922098164b326759a16fd874619bf7~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=ecbeee6c&x-expires=1752148800&x-signature=1wyy2TJdqS47%2FaJ0tNGXhVgT23o%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7518790759013764408.0000000.jpg","6882","52155","121543","122","caramel.studyy","Caramel study","111","47","🗒️✏️ 💌 email for business inquiries: fannylaurensia7@gmail.com Product Link 🧸"
"7517661758014704909","https://www.tiktok.com/@ellharve","2025-06-19","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9269bfc9e1535d76fadd8d32827a9ed2~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=875e8650&x-expires=1752148800&x-signature=f2Knf5ZlYom0kAXJFNDnSQ%2B3tSE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7517661758014704909.0000000.jpg","9399","103328","103883","505","ellharve","Ellie","936","25","studytok 📚 nyc ur big sis| neuro at Columbia Uni ellie.collaborations@gmail.com"
"7157306156396956974","https://www.tiktok.com/@thepaintedsquid","2022-10-22","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7351390443445649451~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=ee0259e5&x-expires=1752148800&x-signature=vBAPedXcLKEyb46X6Fzln0q8xlI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7157306156396956974.0000000.jpg","52019","1154236","18246","730","thepaintedsquid","Paintedsquid TTRPG","6165","271","TTRPG books and things I find interesting! Shop link below!"
"7503942456157801771","https://www.tiktok.com/@writech_pens","2025-05-13","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/63e508e80e686fd1f62ca6db4598066a~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=24c65e63&x-expires=1752148800&x-signature=wTRDdSqayHYRxQR%2Fxm7Sw71zU2s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7503942456157801771.0000000.jpg","171","6948","21388","32","writech_pens","writech_pens","5","3","Writech Finds｜Daily Reviews ✍️ Shop now👇🏻"
"7347732369706618117","https://www.tiktok.com/@madampreciousnkosi","2024-03-18","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/192a269800ec129c100b408eabe136f7~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=7f72b8cf&x-expires=1752148800&x-signature=uP303TuMnbm9ZTv79QooCxs5AaY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=2472a6c6&idc=maliva","https://vispie-media-convertv2.s3.amazonaws.com/thumbnails/7347732369706618117.0000000.jpg","24263","646094","27386","403","madampreciousnkosi","The Fun Christian Influencer🩷","257","136","🩷👩🏽‍💻Aspiring CA(SA) 🐚🥥Fun StudyTok 🇿🇦: PTA/JHB missnkosi01@gmail.com"
